Description,Title,Department,Manager
401472,Senior Iron Works Technician,Workshop,400533
401473,Technical Lead/CRM,SAP Competency Group,401445
401474,Iron WorksTechnician,Workshop,400533
401475,DRP 1&2 Maint. Technician,DRP 1 Maint.,400532
401476,Shift Senior Electrical Technician,DRP 1 Elect. & Autom.,401030
401477,Head of EAF / LF,SMP1 EAF/LF,400962
401479,Maint. Planning Supervisor,Maint. Planning,401990
401481,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),401015
401482,Product Development Specialist,Steel Making Plant 2,401557
401483,DRP Plant Chemist - Phase 1,Chemical Laboratories,400148
401484,Iron Works Technician,Workshop,400533
401485,Sr.MH Maintenance Technician,Cranes - Mechanical,401509
401486,Senior Iron Works Technician,Workshop,400533
401487,Melter,SMP1 EAF/LF,401706
401488,Senior Brick Layer,SMP2 Refractory,401783
401489,Shift Operator SMP1/DRP1/WTP,Utility Operation 1,401493
401490,"DS RM1,2,3,5 Mechanical Technician","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
401491,Refractory Supervisor,SMP2 Refractory,400940
401492,LRF Pulpit Operator,SMP2 EAF / LF,401057
401493,Day Shift Supervisor Group-1 Oper,Utility Operation 1,400826
401494,Day Shift SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
401495,Senior Hydraulics Technician,"Fluids&Hyd. RM,MH,DRP & CH Repair Shop",402502
401497,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),401051
401499,Maintenance Planning Engineer - HSM,HSM Maintenance - Planning,402172
401501,Senior Melter,SMP1 EAF/LF,401706
401502,Shift Brick Layer,SMP1 Refractory,0
401504,Sr. Account Manager - Heavy Sections,Sales - Heavy Sections,401970
401507,DRP Lab Assistants - Phase 1,Chemical Laboratories,400148
401508,Melter,SMP1 EAF/LF,401056
401509,MH Maintenance Supervisor - 1 & 2,Cranes - Mechanical,401327
401510,MH Maintenance Supervisor - 1 & 2,Cranes - Mechanical,401327
401511,EAF / LF Supervisor,SMP1 EAF/LF,401477
401512,Senior Iron Works Technician,Workshop,400533
401516,Shift Supervisor,SMP 1 Elect. & Autom.,400493
401517,Technical Assistant,Technical Services,402646
401520,Shipping & Logistics Coordinator,Shipping & Logistics,402738
401522,Maint. Planner,Maint. Planning,401990
401523,Credit Officer - R&W,Credit and Collection,400337
401526,Spectro Chemist - Phase 1,Chemical Laboratories,400148
401528,Senior Ladle Repairman,SMP2 Refractory,401491
401529,Sampler Ph 2,Inspection and Testing RM 4&5,400149
401530,Senior Casting Operator,SMP2 CCM,409997
401531,Field Operator,Direct Reduction Plant 1,401291
401532,Senior Payroll Officer,Finance & Costing,400370
401534,EAF Pulpit Operator,SMP1 EAF/LF,401511
401535,Casting Operator,SMP1 CCM (Continues Casting Machine),402429
401536,Supervisor Steel Structure Assessment,Cranes - Mechanical,401327
401537,Sampler Ph1,"Inspection and Testing RM1,2 & 3",402484
401538,Casting Supervisor,SMP2 CCM,409997
401540,Sr. HC Automation & Quality Analyst,Strategy & Development,402518
401543,Senior Category Buyer - Indirects,Services & Industrial Services,401640
401544,Senior Melter,SMP1 EAF/LF,401511
401546,General Accountant,Finance & Costing,400370
401549,Supervisor Chemical Labs - Ph1,Chemical Laboratories,400148
401550,Shift Controller (Finished),Rolling Mills - Material Handling,400559
401553,Marketing Manager,Events & Goverment Relations,400325
401555,Sr.MH Maintenance Technician,Cranes - Mechanical,401327
401557,Asst. Manager SMP2 (Acting),Steel Making Plant 2,402322
401558,General Accountant,Finance & Costing,400370
401559,Finishing Technician,Workshop,400749
401560,Finishing Assistant,Rolling Mills (3),400667
401561,Finishing Technician,Workshop,400749
401564,Field Operator,Direct Reduction Plant 1,400893
401566,Shift Supervisor,EISC-Rolling Mills,401201
401567,Office Boy,Housing & GS,400334
401568,Head of QC 1,"Inspection and Testing RM1,2 & 3",402924
401570,Finishing Assistant,Rolling Mills (3),400554
401571,Field Operator,Direct Reduction Plant 1,400935
401573,Shift(Machine Shop) Operator,Workshop,401164
401575,Mould Repairman,SMP2 CCM,401450
401576,Assistant VP - HSM,Sales - Heavy Sections,400325
401577,Shift DRP Maint. Technician,DRP 1 Maint.,400532
401578,Machine Shop Supervisor,Workshop,400508
401579,Shift(Machine Shop) Operator,Workshop,401164
401580,Metallographic Examiner,Inspection and Testing RM 4&5,400149
401581,Reverse Engineering Coordinator,Mechanical Maintenance & Workshop,400451
401582,Performance & Goverance Specialist,Performance Excellence,402579
401583,Shift Brick Layer,SMP1 Refractory,400941
401584,Shift Supervisor,Rolling Mills (3),400445
401585,Ladle Repairman,SMP1 Refractory,0
401586,Shift(Machine Shop) Operator,Workshop,401164
401587,Guide Fitter,Rolling Mills - Roll Shop,400150
401590,HVAC Technician,Central Electrical Services & Workshop,401250
401592,Manager - Controller Group,Controlling Group,400488
401593,Day Shift Senior Electrical Technician,SMP 2  Electrical & Automation,402150
401595,Senior Casting Operator,SMP2 CCM,401450
401596,Senior Melter,EAF/LF - CCM,600094
401597,Senior Melter,EAF/LF - CCM,400943
401598,Planning Engineer,Technical,409999
401600,Project Engineer,P&S / Business Development,400448
401601,Day Shift Sr Electrical Technician,SMP 1 Elect. & Autom.,400493
401605,Market Analyst,Markets Research & Analysis,401948
401607,Tool Store Workshop Controller,Workshop,400749
401608,Mail Dispatch Officer,General Services,400334
401609,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
401610,CES & Elect. Workshop Supervisor Ph.2,OP / E&AM / CES & Workshop,401250
401611,Grinding Operator,Rolling Mills - Roll Shop,409998
401612,Manager -  DRP 1&3,Direct Reduction Plant 1&2,402559
401613,Sales Exec. - Rebars & Wire Rod Export,Sales - Rebars and Wire Rod,400949
401614,Transportation Officer,Sales - Rebars and Wire Rod,0
401618,Day Shift MSS Supervisor,OP / E&AM / Main Sub Station,401990
401619,Shift Brick Layer,SMP1 Refractory,0
401620,Senior Brick Layer,SMP2 Refractory,401783
401621,Shift(Machine Shop) Operator,Workshop,401164
401623,Shift Senior DRP Maint. Technician,DRP 1 Maint.,401188
401624,Shift Senior DRP Maint. Technician,DRP 1 Maint.,401188
401625,Shift Senior DRP Maint. Technician,DRP 1 Maint.,401188
401626,Head of SMP 2 Maint.,SMP 2 Maintenance,400366
401627,Acting Process Engineer,EISC-Steel Making Plant 1,400956
401628,MH Supervisor DRP & Jetty,DRP & Jetty,400551
401631,Day Shift Sr Elec.l Technician - GE&W,Central Electrical Services & Workshop,401250
401633,Shift Senior Electrical  Technician,SMP 1 Elect. & Autom.,400493
401634,Casting Operator,SMP1 CCM (Continues Casting Machine),401063
401635,Mould Repairman,SMP1 CCM (Continues Casting Machine),401335
401637,Shift Senior Electrical  Technician,SMP 1 Elect. & Autom.,400493
401638,Senior DRP 1&2 Maint. Technician,DRP 1 Maint.,400532
401639,CCM Day Shift Technician,SMP2 Mechanical Maint.,401626
401640,Head Category Mgmt  - Industrial Service,Services & Industrial Services,402240
401642,EAF Pulpit Operator,SMP1 EAF/LF,401477
401643,Shift DRP Maint. Technician,DRP 1 Maint.,400532
401644,Day DRP Senior  Technician,DRP Maintenance,600077
401646,Day Shift Brick Layer,SMP1 Refractory,400941
401649,Cost Accountant,Controlling Group,401592
401650,Day Shift SMP Welder,SMP 1 and 1&2 Maintenance,400746
401652,Sr. Shift Operator RM 2-3 WTP,Utility Operation 1,400614
401656,Maintenance Technician Ph1,Utility Maint.1 & 2,402411
401657,MS Day Shift Technician,SMP2 Mechanical Maint.,401626
401658,Supervisor E&AM  Day Shift,HSM Maintenance - Electrical &Automation,400536
401659,System Engineer,Information Technology,400948
401661,"Regional Sales Mgr. - R&Ws, Bypdt.,Semis",Sales - Rebars and Wire Rod,400498
401662,Shipping & Logistics Coordinator,Shipping & Logistics,402738
401663,Day Shift SMP Welder,SMP 1 and 1&2 Maintenance,400746
401664,DRP 1&2 Maint. Technician,DRP 1 Maint.,400532
401668,Senior Mould/Segment Repairman,SMP2 CCM,401450
401669,QA Engineer,Quality Assurance,400702
401670,Mould Repairman,SMP2 CCM,401450
401672,Senior Panel Operator,Direct Reduction Plant  2,400932
401673,Panel Operator,Direct Reduction Plant  2,401680
401674,Transactional  Buyer - Raw Materials,Materials & Spares/Cons.,401856
401675,Refractory Supervisor,Refractory & Material Handling,600360
401677,EAF Pulpit Operator,SMP2 EAF / LF,401704
401679,EAF Pulpit Operator,SMP2 EAF / LF,401771
401680,Production Supervisor,Direct Reduction Plant  2,401071
401681,Shift Controller (Semi Finished),SMP2 CCM,401450
401683,Finishing Technician,Workshop,400749
401687,Shift Senior Instrumentation Technician,OP / E&AM / DRP 2,401964
401688,Saw Sharpening,HSM Roll Shop,401014
401694,Weighbridge Operator,Weighbridge,400345
401697,Brick Layer,SMP2 Refractory,401783
401699,Senior Panel Operator,Direct Reduction Plant  2,402011
401700,Level 2 Automation Eng. - System Admin.,Heavy Section Mill,402469
401703,Ladle Repairman,SMP1 Refractory,0
401704, EAF/LF Supervisor,SMP2 EAF / LF,401557
401705,Ladle Repairman,SMP1 Refractory,0
401706,EAF / LF Supervisor,SMP1 EAF/LF,401477
401707,Casting Operator,SMP1 CCM (Continues Casting Machine),401015
401708,Senior Melter,SMP2 EAF / LF,401557
401709,Control & Automation Engineer-DRP1 & 2,DRP 2  Electrical & Automation,401964
401710,Ladle Repairman,SMP1 Refractory,0
401717,Shift DRP Maint. Supervisor,DRP 1 Maint.,401283
401718,Hydraulics Supervisor - Ph.2,"Fluids&Hyd. RM,MH,DRP & CH Repair Shop",402502
401720,Maintenance Technician Ph 2,Utility Maint.1 & 2,402411
401721,Melter,SMP2 EAF / LF,401771
401722,DS Shift Sr SMP Maint. Technician,SMP 2 Maintenance,401626
401723,CCM Pulpit Operator,SMP1 CCM (Continues Casting Machine),401063
401725,Senior Iron Works Technician - Ph.2,Workshop,400533
401726,Maintenance Technician Ph 2,Utility Maint.1 & 2,402411
401727,Shift DRP Maint.Supervisor,DRP 2 Maintenance,401283
401728,Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401729,Shift DRP Maint.Supervisor,DRP 2 Maintenance,401218
401730,Tool Store Workshop Controller - Ph.2,Workshop,400627
401731,Shift SMP Maint. Supervisor,SMP 2 Maintenance,401626
401733,Shift DRP Maint.Supervisor,DRP 1 Maint.,401283
401734,Maintenance Technician Ph 2,Utility Maint.1 & 2,402411
401736,Ladle Repairman,SMP2 Refractory,401491
401739,Shift DRP Maint. Technician,DRP 2 Maintenance,401218
401740,Shift SMP Maint. Supervisor,SMP 2 Maintenance,401626
401741,Shift Brick Layer,SMP1 Refractory,0
401743,Shift  E&A Supervisor,SMP 2  Electrical & Automation,402150
401744,Melter,SMP2 EAF / LF,401708
401746,Shift E&A Supervisor,OP / E&AM / DRP 2,401964
401747,Crane Electrical  Supervisor - Ph 1,Cranes - Electrical,402926
401748,Sr. Crane Electrical Technician - Ph 2,Cranes - Electrical,400791
401749,MS Shift Supervisor,SMP2 Mechanical Maint.,401626
401751,Crane Mechanical Supervisor - Ph 1,Cranes - Mechanical,402937
401752,Senior SMP Maint. Technician,SMP 1 and 1&2 Maintenance,0
401753,Senior Hydraulics Technician,HSM Maintenance - Hydraulics,402502
401755,MH Maintenance Technician,Cranes - Mechanical,0
401756,MS Shift Supervisor,SMP2 Mechanical Maint.,401626
401757,Day Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401759,Sr. Crane Electrical Technician - Ph 1,Cranes - Electrical,402926
401762,Melter,SMP2 EAF / LF,401057
401763,Shift Senior Electrical Technician,SMP 2  Electrical & Automation,402150
401764,Casting Operator,SMP2 CCM,401450
401765,Melter,SMP2 EAF / LF,401771
401766,CCM Day Shift Technician,SMP2 Mechanical Maint.,401626
401767,Senior  Hydraulics Technician - Ph.2,Fluids&Hyd SMP 1&2,400747
401769,Training & PMS Implementation Officer,Training & PMS Administration,0
401770,Melter,SMP2 EAF / LF,401057
401771,Senior Melter,SMP2 EAF / LF,401557
401772,Shift Senior Instrumentation Technician,DRP 2  Electrical & Automation,401964
401773,Casting Operator,SMP2 CCM,401450
401774,Melter,SMP2 EAF / LF,401057
401775,Ladle Operator,SMP2 CCM,401450
401776,Melter,SMP2 EAF / LF,401704
401777,MSS Shift Sr Electrical Technician Ph.2,Main Sub Station,400807
401778,MSS Shift Sr Electrical Technician Ph.2,Main Sub Station,400807
401779,Shift Senior Electrical Technician,DRP 2  Electrical & Automation,401964
401780,Crane Electrical Technician - HSM,Cranes - Electrical,400791
401781,Asst. MH Technician,MH & Crane Maintenance,400627
401782,Ladle Operator,SMP1 CCM (Continues Casting Machine),401015
401783,Refractory Supervisor,SMP2 Refractory,400940
401784,LRF Pulpit Operator,SMP2 EAF / LF,401708
401787,Casting Operator,SMP2 CCM,401450
401788,Ladle Operator,SMP2 CCM,401450
401789,Shift DRP Maint.Supervisor,DRP 1 Maint.,401283
401791,Senior Maint. Technician Ph 2,Utility Maint.1 & 2,400782
401792,Melter,SMP2 EAF / LF,401704
401793,Brick Layer,SMP2 Refractory,401783
401794,Senior Melter,SMP2 EAF / LF,401704
401796,Secretary - SMP2,Steel Making Plant 2,401557
401798,Senior Field Operator,Direct Reduction Plant  2,400932
401799,Main Pulpit Operator,Rolling Mills (3),400911
401802,Hydraulic Technician,SMP2 Mechanical Maint.,401626
401806,Hydraulics  Technician,Fluids&Hyd SMP 1&2,401718
401807,Day Shift RM Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
401808,Finishing Technician,Workshop,400749
401812,DS Shift Sr SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
401814,Shift Senior DRP Maint. Technician,DRP 2 Maintenance,401218
401815,Hydraulics Supervisor - Ph.2,Fluids&Hyd SMP 1&2,401626
401819,Casting Operator,SMP2 CCM,401450
401820,Senior Melter,SMP2 EAF / LF,401771
401821,Melter,SMP2 EAF / LF,401708
401822,Senior Mould/Segment Repairman,SMP2 CCM,401450
401823,Mould Repairman,SMP2 CCM,401450
401825,Quality Develop. & Technical Trainer,Strategy & Development,402518
401827,Senior Shift Operator RM4 WTP,Utility Operation 2,400635
401828,Field Operator,Direct Reduction Plant  2,401680
401829,Field Operator,Direct Reduction Plant 1,401272
401830,Brick Layer,SMP2 Refractory,401783
401831,Hydraulic Technician,SMP2 Mechanical Maint.,401815
401833,CCM Pulpit Operator,SMP2 CCM,401450
401835,Shift  E&A Supervisor,SMP 2  Electrical & Automation,402150
401837,Shift Senior Electrical Technician,DRP 2  Electrical & Automation,401964
401839,Shift DRP Maint.Supervisor,DRP 2 Maintenance,401218
401841,Casting Operator,SMP2 CCM,401450
401842,CCM Pulpit Operator,SMP2 CCM,401450
401843,Brick Layer,SMP2 Refractory,401783
401844,Melter,SMP2 EAF / LF,401704
401846,Ladle Repairman,SMP1 Refractory,0
401847,Maintenance Technician Ph 2,Utility Maint.1 & 2,402411
401850,Casting Operator,SMP2 CCM,401450
401851,Ladle Repairman,SMP2 Refractory,401491
401852,Senior Ladle Repairman,SMP2 Refractory,401491
401854,Maintenance Technician Ph 2,Utility Maint.1 & 2,402707
401855,Head Employee Relations & Customer Serv.,Employee Relation& Customer Serv,400376
401856,Strategic Proc.Mgr- Materials&Spare/Cons,Materials & Spares/Cons.,400419
401858,Casting Operator,SMP1 CCM (Continues Casting Machine),401063
401861,Brick Layer,SMP2 Refractory,401783
401863,Hydraulic Technician,SMP2 Mechanical Maint.,401626
401864,Shift DRP Maint. Technician,DRP 1 Maint.,400532
401866,Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401867,Day Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401868,Sr. Shift Optr RM 1 WTP CAP SWS,Utility Operation 1,400614
401870,Crane Operator,SMP1 CCM (Continues Casting Machine),402429
401871,Mould Repairman,SMP2 CCM,401450
401872,Production Supervisor  (Acting),Direct Reduction Plant  2,400457
401873,"Level 2 Engineer-RM 1,2,3,5","Rolling Mills 1,2 ,3 & 5",400485
401874,Shift Operator RO Plant FW NG,Utility Operation 1,400614
401875,Sr. Project Engineer,Eng. & Commissioning,402409
401877,Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401878,Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401879,Hydraulics Technician - Ph.2,Fluids&Hyd SMP 1&2,401815
401880,Field Operator,Direct Reduction Plant  2,402011
401881,Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401882,Shift DRP Maint. Technician,DRP 1 Maint.,401188
401883,Shift SMP Maint. Supervisor,SMP 2 Maintenance,401626
401886,Crane Operator,SMP2 CCM,401450
401887,LRF Pulpit Operator,SMP2 EAF / LF,401704
401888,EAF Pulpit Operator,SMP2 EAF / LF,401708
401889,Senior Ladle Repairman,SMP2 Refractory,401491
401890,Production Supervisor,Direct Reduction Plant  2,401071
401891,Events Coordinator,Events & Goverment Relations,401275
401892,Brick Layer,SMP2 Refractory,401783
401895,Crane Operator,SMP2 CCM,401450
401896,Crane Operator,SMP2 CCM,401450
401897,Shift Senior DRP Maint. Technician,DRP 2 Maintenance,401218
401898,Brick Layer,SMP2 Refractory,401783
401899,Melter,SMP2 EAF / LF,401708
401900,Casting/Crane Operator,SMP2 CCM,401450
401901,Mould Repairman,SMP1 CCM (Continues Casting Machine),401335
401902,Melter,SMP1 EAF/LF,401706
401903,Officer - Customer Order Management,Sales - Heavy Sections,0
401905,Shift Brick Layer,SMP1 Refractory,0
401907,Ladle Operator,SMP2 CCM,401450
401908,Brick Layer,SMP2 Refractory,401783
401909,Shift Brick Layer,SMP1 Refractory,0
401910,Brick Layer,SMP2 Refractory,401783
401912,Crane Operator,SMP1 CCM (Continues Casting Machine),401015
401913,Ladle Repairman,SMP2 Refractory,401491
401916,Senior Shift Operator SMP2/DRP2 WTP,Utility Operation 2,400659
401918,Day Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401919,Sr.MH Maintenance Technician,Cranes - Mechanical,401509
401920,Direct Reduction Plant Expert,Continuous Improvement,402158
401922,Steel Making Plant Expert,Continuous Improvement,402158
401924,Shift SMP Maint. Technician,SMP 2 Maintenance,401626
401925,Hydraulics Technician - Ph.2,"Fluids&Hyd. RM,MH,DRP & CH Repair Shop",402502
401927,Weighbridge Operator,General Services,400345
401928,Finishing Assistant,Rolling Mill (1),400586
401929,Senior Planner - Spares & Services,SMP2 Planning,402428
401931,Mill Assistant,Rolling Mill (1),400136
401932,Weighbridge Operator,Weighbridge,400345
401933,Shift Senior Electrical Technician,SMP 2  Electrical & Automation,402150
401935,MS Shift Supervisor,SMP2 Electrical & Auto. Maint.,402150
401936,Shift Senior Electrical Technician,OP / E&AM / SMP 2,402150
401937,Casting Operator,SMP1 CCM (Continues Casting Machine),401015
401940,Field Operator,Direct Reduction Plant  2,400932
401941,Senior Shift Operator RM4 WTP,Utility Operation 2,400635
401942,Quality Auditor,Quality Assurance,400702
401943,Inventory Planner MRO,Warehouse,401460
401946,Transactional  Buyer - Spares/Cons.,Materials & Spares/Cons.,402385
401948,Markets Research & Analysis Manager,Markets Analysis,400325
401949,WeighBridge Operator,Weighbridge,400334
401951,Shift  E&A Supervisor,SMP 2  Electrical & Automation,402150
401952,Shift E&A Supervisor,DRP 2  Electrical & Automation,401964
401953,Day Shift Electrical Supervisor,OP / E&AM / DRP 2,401964
401954,Shift E&A Supervisor,OP / E&AM / DRP 2,401964
401955,Ladle Repairman,SMP2 Refractory,401491
401956,SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
401957,Senior Shift Operator RM4 WTP,Utility Operation 2,400635
401959,Shift Operator SMP1/DRP1/WTP,Utility Operation 1,401493
401960,Spectro Chemist - Phase 2,Chemical Laboratories,400148
401961,Shift  E&A Supervisor,SMP 2  Electrical & Automation,402150
401962,Strategic Procurement Manager - Iron Ore,Supply Chain Management,0
401964,Head of DRP 2 Electrical & Automation,DRP 2  Electrical & Automation,400455
401965,Ladle Repairman,SMP2 Refractory,401491
401967,Performance Reporting & KPI Analyst,Performance Excellence,402579
401969,Ladle Repairman,SMP2 Refractory,401491
401970,Head of Sales - Exports & UAE Stockist,Sales - Heavy Sections,401576
401971,Inventory Controller,Logistics (Warehouse),401460
401972,Rolling Mill Expert,Continuous Improvement,402158
401976,Day DRP Senior  Technician,DRP Maintenance,600077
401977,Sr. Shift Operator ASP 1,Utility Operation 1,401493
401980,Senior Ladle Repairman,SMP2 Refractory,401491
401982,Senior Shift Operator SMP2/DRP2 WTP,Utility Operation 2,400659
401983,Spectro Chemist - Phase 2,Chemical Laboratories,400148
401984,"Head of Emiratization, MP & Talent Acq.","Emiratization,Manpower Plan.& Talent Acq",400376
401987,Gen. Driver,Housing & GS,400334
401989,Senior Maint. Technician Ph 2,Utility Maint.1 & 2,402707
401990,Section Head-Main. Planning,Maint. Planning,400957
401991,Casting Operator,SMP1 CCM (Continues Casting Machine),401015
401992,Casting Operator,SMP1 CCM (Continues Casting Machine),401051
401995,Casting Supervisor,SMP2 CCM,409997
401996,Sr. Training & Work Readiness Analyst,Strategy & Development,402518
402002,Ladle Operator,SMP1 CCM (Continues Casting Machine),401063
402004,Casting Operator,SMP1 CCM (Continues Casting Machine),402429
402007,Iron Works Technician,Workshop,400533
402009,Melter,SMP1 EAF/LF,401056
402010,Quality Control Inspector Ph 2,Inspection and Testing RM 4&5,400149
402011,Production Supervisor,Direct Reduction Plant  2,401071
402014,Shift Senior Instrumentation Technician,DRP 2  Electrical & Automation,401964
402016,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402017,Senior Stand and Guide fitter,HSM Roll Shop,402070
402018,Senior Stand and Guide fitter,HSM Roll Shop,402070
402019,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402023,Cold Saw Operator,HSM Operation - Production,400218
402024,Feedstock Crane Operator,HSM Operation - Finishing Process,400268
402025,Shift Senior Electrical Technician,SMP 2  Electrical & Automation,402150
402027,Feedstock Material Controller,HSM Operation - Finishing Process,400268
402028,RSM Build up,HSM Operation - Finishing Process,400178
402029,Senior Stand and Guide fitter,HSM Roll Shop,402070
402030,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402031,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402032,CNC Operator,HSM Roll Shop,402070
402033,Piler Operator,HSM Operation - Production,400218
402036,Furnance Operator,HSM Operation - Production,402069
402037,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402038,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402039,CNC Operator,HSM Roll Shop,402070
402041,Furnance Operator,HSM Operation - Production,400218
402042,CNC Operator,HSM Roll Shop,402070
402043,Furnance Operator,HSM Operation - Production,402146
402045,Machinist,Rolling Mills - Roll Shop,409998
402046,Senior Finisher,HSM Operation - Production,402069
402047,Sr.Shift Operator SMP1/DRP1/WTP,Utility Operation 1,401493
402049,BDM Pulpit Operator,HSM Operation - Production,400218
402051,BDM Pulpit Operator,HSM Operation - Production,402146
402052,Senior Roller Operator,HSM Operation - Production,402121
402053,URF Pulpit Operator,Rolling Processes,400218
402055,URF Pulpit Operator,Rolling Processes,402121
402056,"Head of RM 1,2 & 3 Electrical","RM 1,2 & 3 / RM1, 2 & 3 Electrical",400485
402057,Category Buyer - Indirects,Services & Industrial Services,402548
402058,CNC Operator,HSM Roll Shop,402070
402061,Piler Operator,HSM Operation - Production,400218
402062,Piler Operator,HSM Operation - Production,402146
402063,Dispatch Controller,Dispatch Section,400727
402064,CNC Operator,HSM Roll Shop,402070
402065,Sales Exec. - Rebars & Wire Rod Export,Sales - Rebars and Wire Rod,400949
402067,Cold Saw Operator,HSM Operation - Production,402121
402068,Piler Operator,HSM Operation - Production,402069
402069,Shift Supervisor,HSM Operation - Production,402713
402070,Roll Shop Supervisor,HSM Roll Shop,402480
402073,BDM Pulpit Operator,HSM Operation - Production,402069
402074,Bundle Rectification Shop Supervisor,HSM Operation - Finishing Process,400178
402078,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402079,Sr.Sales Executive - Projects,Sales - Heavy Sections,0
402081,Feedstock Crane Operator,HSM Operation - Finishing Process,400268
402083,Piler Operator,HSM Operation - Production,402069
402086,Crane Electrical Technician - Ph 1,Cranes - Electrical,402926
402090,Overhead Crane Operator,Dispatch Section,400967
402092,Piler Operator,HSM Operation - Production,402146
402095,Crane Electrical Technician - Ph 1,Cranes - Electrical,402926
402097,Supervisor - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,400437
402099,RM2 &3 Shift Maintenance Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
402100,Mould Repairman,SMP2 CCM,401450
402101,RSM Operator,HSM Operation - Production,402121
402103,Senior Finisher,HSM Operation - Production,402121
402104,Feedstock Material Controller,HSM Operation - Finishing Process,400268
402105,Senior Stand and Guide fitter,HSM Roll Shop,402070
402106,Mould Repairman,SMP2 CCM,401450
402107,Sr. Shift Operator ASP 1,Utility Operation 1,401493
402108,Gag Press/Cold Saw Operator,HSM Operation - Finishing Process,402074
402110,Overhead Crane Operator,Dispatch Section,400967
402111,Weighbridge Operator,Weighbridge,400345
402113,Overhead Crane Operator,Dispatch Section,402115
402114,Overhead Crane Operator,Dispatch Section,400967
402115,Sr. Dispatch Planner,Dispatch Section,400967
402117,Senior Shift Operator RM4 WTP,Utility Operation 2,400635
402121,Shift Supervisor,HSM Operation - Production,402713
402123,Senior Roller,Rolling Mills (2),400667
402124,Mould Repairman,EAF/LF - CCM,400950
402126,Mill Assistant,Rolling Mills (2),400150
402129,Rolling Mill Assistant,HSM Operation - Production,400268
402130,HSM Planner,HSM Planning,400500
402131,Field Operator,Direct Reduction Plant 1,401272
402132,Maintenance Planner,HSM Maintenance - Planning,401499
402133,Stand & Guide Stand Fitter,HSM Roll Shop,402070
402134,Rolling Mill Assistant,HSM Operation - Production,400218
402138,Health & Safety Coordinator,Health & Safety,402755
402139,Health & Safety Inspector Ph1 & Ph2,Health & Safety,402755
402140,Day Shift SMP Maint. Technician,SMP 2 Maintenance,401626
402141,Feedstock Material Controller,HSM Operation - Finishing Process,400268
402142,Roller Operator,"RM1,2,3 & 5 / Rolling Mill (1)",400136
402143,Shift Operator SMP2/DRP2 WTP,Utility Operation 2,400659
402144,Finishing Technician,Workshop,400749
402146,Shift Supervisor,HSM Operation - Production,402713
402147,Gag Press/Cold Saw Operator,HSM Operation - Finishing Process,402074
402148,Brick Layer,SMP2 Refractory,401783
402149,Shift Supervisor E&AM,HSM Maintenance - Electrical &Automation,400536
402150,Section Head - Electrical & Automation M,SMP2 Electrical & Auto. Maint.,400366
402152,Shift Technician - Mech. Maint.,HSM Maintenance - Mechanical Maintenance,402169
402153,Health & Saftety Inspector Ph1 & Ph2,Health & Safety,402755
402154,Mechanical Planner,HSM Maintenance - Planning,401499
402155,Supervisor - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,400437
402156,Shift Technician - Mech. Maint.,HSM Maintenance - Mechanical Maintenance,402155
402157,Senior Technician - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,402155
402158,Continuous Improvement  Manager,Continuous Improvement,400448
402159,Health & Saftety Inspector Ph1 & Ph2,Health & Safety,402755
402160,Supervisor - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,400437
402161,Mill Crane Operator,HSM Operation - Production,402121
402162,Finishing Technician,Workshop,400749
402163,Senior Technician - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,402169
402164,Senior Technician - Day Shift Mech. Main,HSM Maintenance - Mechanical Maintenance,0
402165,Agriculture Technician,Housing & GS,400334
402167,Mechanical Test House Technician Ph2,Inspection and Testing RM 4&5,400149
402168,Senior Technician - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,402160
402169,Supervisor - Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,400437
